mean,std,var,min,max,range,median,skewness,kurtosis,rms,zero_crossings,set,description
6.816451061752502,42.590723484366364,1813.9697269217568,-190.0,185.0,375.0,7.0,-0.1821313415554348,0.541093316912296,43.1327454725412,471,Z,Healthy (Eyes Open)
-52.444715645594336,48.81266768228908,2382.6765262615886,-254.0,169.0,423.0,-51.0,-0.09271499211959769,0.6256030453579986,71.64582838804249,293,Z,Healthy (Eyes Open)
12.705150109836465,47.14478921309286,2222.6311499469566,-146.0,184.0,330.0,13.0,-0.004099908422673498,0.15641439979311755,48.826754850803205,457,Z,Healthy (Eyes Open)
-3.992433487917989,47.072316379722885,2215.8029693527274,-181.0,162.0,343.0,-4.0,0.06367751324413805,0.18573236473385046,47.24132189628246,706,Z,Healthy (Eyes Open)
-17.99926775689529,44.910957922526904,2016.9941415189824,-188.0,152.0,340.0,-18.0,0.14275337323253015,0.3973123366227025,48.38354866381126,448,Z,Healthy (Eyes Open)
-27.8230412496949,45.02271469917802,2027.0448388835803,-180.0,123.0,303.0,-28.0,0.0025011817593482595,0.19006242843439614,52.926047115440284,386,Z,Healthy (Eyes Open)
-13.33463509885282,46.25943284337101,2139.9351269903523,-177.0,147.0,324.0,-13.0,0.003178683279414835,0.17054142308130826,48.14299139241256,581,Z,Healthy (Eyes Open)
-5.653893092506713,32.34212408132114,1046.0129900915729,-124.0,129.0,253.0,-5.0,-0.023596653944598325,0.16284873131332267,32.83259808777046,577,Z,Healthy (Eyes Open)
8.200878691725652,31.478247685248174,990.880077333832,-93.0,117.0,210.0,9.0,-0.002426031720372573,-0.01901004127813488,32.52897921316056,426,Z,Healthy (Eyes Open)
-27.36953868684403,43.70031442335459,1909.7174807000533,-190.0,122.0,312.0,-29.0,0.20265028735172702,0.30725344275484634,51.563641537722155,279,Z,Healthy (Eyes Open)
5.156944105443007,50.530802417011486,2553.3619929070537,-164.0,225.0,389.0,4.0,0.15182874063604598,0.6092555608481272,50.79326791429862,478,O,Healthy (Eyes Closed)
8.333658774713205,47.723705682552826,2277.5520840749246,-143.0,195.0,338.0,7.0,0.15905100823118742,0.20065624579859787,48.445866208049985,475,O,Healthy (Eyes Closed)
-3.067122284598487,57.770151615807485,3337.3904177133845,-254.0,175.0,429.0,1.0,-0.30323344893923665,0.3384214435214803,57.85151386802306,448,O,Healthy (Eyes Closed)
